county,date,state,cases,deaths
San Francisco,2020-05-13,California,1997,35.0
Cook,2020-05-13,Georgia,32,3.0
Cook,2020-05-13,Illinois,56406,2589.0
San Francisco,2020-05-14,California,2007,35.0
Cook,2020-05-14,Georgia,32,2.0
Cook,2020-05-14,Illinois,58457,2675.0
San Francisco,2020-05-15,California,2032,36.0
Cook,2020-05-15,Georgia,32,2.0
Cook,2020-05-15,Illinois,59905,2762.0
San Francisco,2020-05-16,California,2065,36.0
Cook,2020-05-16,Georgia,32,2.0
Cook,2020-05-16,Illinois,61212,2814.0
San Francisco,2020-05-17,California,2097,36.0
Cook,2020-05-17,Georgia,32,2.0
Cook,2020-05-17,Illinois,62218,2839.0
San Francisco,2020-05-18,California,2135,36.0
Cook,2020-05-18,Georgia,31,2.0
Cook,2020-05-18,Illinois,63690,2889.0
San Francisco,2020-05-19,California,2186,36.0
Cook,2020-05-19,Georgia,31,2.0
Cook,2020-05-19,Illinois,64691,2980.0
San Francisco,2020-05-20,California,2189,37.0
Cook,2020-05-20,Georgia,35,2.0
Cook,2020-05-20,Illinois,66213,3074.0
San Francisco,2020-05-21,California,2202,37.0
Cook,2020-05-21,Georgia,40,2.0
Cook,2020-05-21,Illinois,67551,3114.0
San Francisco,2020-05-22,California,2323,40.0
Cook,2020-05-22,Georgia,44,2.0
Cook,2020-05-22,Illinois,68949,3187.0
San Francisco,2020-05-23,California,2353,40.0
Cook,2020-05-23,Georgia,44,2.0
Cook,2020-05-23,Illinois,70417,3246.0
San Francisco,2020-05-24,California,2370,40.0
Cook,2020-05-24,Georgia,46,2.0
Cook,2020-05-24,Illinois,72010,3304.0
San Francisco,2020-05-25,California,2389,40.0
Cook,2020-05-25,Georgia,46,2.0
Cook,2020-05-25,Illinois,73097,3324.0
San Francisco,2020-05-26,California,2402,40.0
Cook,2020-05-26,Georgia,45,2.0
Cook,2020-05-26,Illinois,73819,3354.0
San Francisco,2020-05-27,California,2411,40.0
Cook,2020-05-27,Georgia,47,2.0
Cook,2020-05-27,Illinois,74521,3455.0
San Francisco,2020-05-28,California,2440,40.0
Cook,2020-05-28,Georgia,48,2.0
Cook,2020-05-28,Illinois,75306,3519.0
San Francisco,2020-05-29,California,2476,41.0
Cook,2020-05-29,Georgia,48,2.0
Cook,2020-05-29,Illinois,76266,3570.0
San Francisco,2020-05-30,California,2535,41.0
Cook,2020-05-30,Georgia,48,2.0
Cook,2020-05-30,Illinois,77119,3603.0
San Francisco,2020-05-31,California,2561,42.0
Cook,2020-05-31,Georgia,48,2.0
Cook,2020-05-31,Illinois,77925,3642.0
San Francisco,2020-06-01,California,2573,43.0
Cook,2020-06-01,Georgia,47,2.0
Cook,2020-06-01,Illinois,78495,3658.0
San Francisco,2020-06-02,California,2590,43.0
Cook,2020-06-02,Georgia,47,2.0
Cook,2020-06-02,Illinois,79673,3726.0
San Francisco,2020-06-03,California,2616,43.0
Cook,2020-06-03,Georgia,45,2.0
